seed,replicate,n_episodes,ar_coef,total_features,model_name,model_label,grouped_auc,grouped_brier,random_auc,random_brier,delta_cv,event_rate,n_obs,n_eff,rho_hat,avg_episode_size
47000,0,50,0.9,5,xgboost,Boosted Trees,0.4811023029108136,0.37754510909462025,0.8355222623839647,0.16121365221903838,0.3544199594731511,0.4029038112522686,1102,105.47079055498777,0.4490679868118939,22.04
47001,1,50,0.9,5,xgboost,Boosted Trees,0.7332999550983267,0.24059204026919456,0.9106297757697854,0.1210949760953416,0.17732982067145875,0.4425742574257426,1010,87.5086724961065,0.5490475622245575,20.2
48000,0,50,0.9,20,logistic,Logistic Regression,0.6423575305562884,0.22301702968993442,0.675473166156396,0.20974080616126192,0.03311563560010755,0.3413312693498452,1292,88.67249346102835,0.5463152601588664,25.84
48001,1,50,0.9,20,logistic,Logistic Regression,0.8073916133617627,0.17422922002960803,0.8078768981513325,0.17533863903731076,0.00048528478956977317,0.3817663817663818,1053,81.48858073505998,0.5943198382646703,21.06
49000,0,50,0.9,20,random_forest,Random Forest,0.7417341543404057,0.19980193456996212,0.811649631407345,0.17270976931263274,0.06991547706693935,0.48743169398907105,915,95.10139372733754,0.4983416242817664,18.3
49001,1,50,0.9,20,random_forest,Random Forest,0.6183107528725775,0.2389551545679122,0.7866489452924027,0.18694475015422105,0.16833819241982517,0.38253825382538253,1111,87.9993898168575,0.5478363591463833,22.22
50000,0,50,0.9,20,xgboost,Boosted Trees,0.5783479745652056,0.2956166841140756,0.7816022684251597,0.18854052879305705,0.20325429385995408,0.42565597667638483,1029,118.26344411983467,0.3933050827962047,20.58
50001,1,50,0.9,20,xgboost,Boosted Trees,0.4878391594876811,0.3622428161678835,0.8039741615081434,0.17584263558293617,0.3161350020204623,0.5671462829736211,834,109.21949003544245,0.4232142705845301,16.68
51000,0,50,0.9,100,logistic,Logistic Regression,0.5136062378167641,0.27222172552445906,0.5333541260558805,0.2612533562282885,0.01974788823911644,0.36964980544747084,1285,149.82577584057606,0.3067460879538147,25.7
51001,1,50,0.9,100,logistic,Logistic Regression,0.738421922441293,0.23111446820528797,0.7760098389638341,0.20639004580792383,0.03758791652254112,0.4537037037037037,972,95.22612898005032,0.49931033087047977,19.44
52000,0,50,0.9,100,random_forest,Random Forest,0.7222248339895398,0.21128482093596238,0.7337339131456778,0.21196460250022714,0.011509079156137969,0.5344619105199516,827,126.30129724443631,0.35700351141336667,16.54
52001,1,50,0.9,100,random_forest,Random Forest,0.5906192988673203,0.23845597979092778,0.7077689622133847,0.21947785475693812,0.11714966334606436,0.4160714285714286,1120,97.75692485678645,0.48864433969590304,22.4
53000,0,50,0.9,100,xgboost,Boosted Trees,0.6127168884375354,0.30723674359081155,0.768012915657631,0.20158172462875892,0.1552960272200956,0.522372528616025,961,104.2087113352529,0.4512556412934254,19.22
53001,1,50,0.9,100,xgboost,Boosted Trees,0.6520490565477222,0.2775932085333386,0.7902768219199787,0.18992845419751614,0.13822776537225656,0.5255555555555556,900,104.306213528617,0.448731818247975,18.0
54000,0,100,0.0,5,logistic,Logistic Regression,0.623935099961471,0.2364189480674592,0.6355025705490194,0.23398166000495316,0.011567470587548367,0.490138067061144,2028,239.72260755641582,0.38691793707718897,20.28
54001,1,100,0.0,5,logistic,Logistic Regression,0.7369064095730963,0.19948519144419807,0.7402203720578374,0.19708721215771668,0.0033139624847411397,0.39776763064434295,1971,161.9731247133333,0.5969366869597797,19.71
55000,0,100,0.0,5,random_forest,Random Forest,0.6450156460541305,0.2421705631851118,0.7777475779848715,0.18020555866853738,0.13273193193074095,0.3800753453327752,2389,175.58209277763157,0.5507283145627236,23.89
55001,1,100,0.0,5,random_forest,Random Forest,0.4978383380756374,0.2824081812819244,0.7331648203909868,0.20201088644284096,0.23532648231534947,0.5827733659132559,1637,221.90801539703827,0.4148946303552101,16.37
56000,0,100,0.0,5,xgboost,Boosted Trees,0.4882454780361757,0.3426512708855156,0.824003445305771,0.16844051209420358,0.3357579672695953,0.410958904109589,2190,194.2929969214374,0.49146585242931895,21.9
56001,1,100,0.0,5,xgboost,Boosted Trees,0.6391813305656132,0.25510765666153057,0.8096385589896765,0.17178113303275647,0.1704572284240633,0.39616891597736176,2297,230.2580847315445,0.40854631968024246,22.97
57000,0,100,0.0,20,logistic,Logistic Regression,0.6509284078324775,0.22612356301911835,0.6466104147790195,0.22657567049121646,-0.004317993053458036,0.4131004366812227,2290,219.21200630345803,0.43134740193764903,22.9
57001,1,100,0.0,20,logistic,Logistic Regression,0.6260629469340904,0.23360000804389625,0.654729810083712,0.22641586228773594,0.028666863149621635,0.43051359516616317,1986,208.7586136276694,0.45139872245861173,19.86
58000,0,100,0.0,20,random_forest,Random Forest,0.5688093213297754,0.24544089567170588,0.6944410232349003,0.2123847525678077,0.12563170190512496,0.3907380607814761,2073,177.96875824263117,0.5396914262441568,20.73
58001,1,100,0.0,20,random_forest,Random Forest,0.5529064224492193,0.2537515362158841,0.6571013267582483,0.21936938022781255,0.104194904309029,0.3957345971563981,2110,197.93796875384453,0.48059230293204974,21.1
