replicate,seed,episode_heterogeneity,temporal_structure,split_method,model,event_prevalence,auroc,status,runtime_seconds
9,51,True,False,grouped,boosted_trees,0.4818355640535373,0.5423988168453113,ok,1.5797674970235676
9,51,True,False,row_wise,boosted_trees,0.4818355640535373,0.8362912200550576,ok,1.5858467549551278
10,52,True,False,grouped,boosted_trees,0.3767441860465116,0.6121757467805008,ok,1.8306296380469576
10,52,True,False,row_wise,boosted_trees,0.3767441860465116,0.8230555043711484,ok,1.83629867201671
11,53,True,False,grouped,boosted_trees,0.585480093676815,0.3129943502824859,ok,1.4991753429640085
11,53,True,False,row_wise,boosted_trees,0.585480093676815,0.8429604519774012,ok,1.5047091270098463
12,54,True,False,grouped,boosted_trees,0.41379310344827586,0.6436130007558579,ok,1.5019006850197911
12,54,True,False,row_wise,boosted_trees,0.41379310344827586,0.812880707838691,ok,1.5071289220359176
13,55,True,False,grouped,boosted_trees,0.5976095617529881,0.5368234323432343,ok,1.4688180789817125
13,55,True,False,row_wise,boosted_trees,0.5976095617529881,0.7126567656765677,ok,1.474724130006507
14,56,True,False,grouped,boosted_trees,0.46735905044510384,0.477959057346244,ok,1.5096536830533296
14,56,True,False,row_wise,boosted_trees,0.46735905044510384,0.7111199540168901,ok,1.5142920219805092
15,57,True,False,grouped,boosted_trees,0.4843492586490939,0.6834669970224512,ok,2.2161079990910366
15,57,True,False,row_wise,boosted_trees,0.4843492586490939,0.8466779683119254,ok,2.2260491710621864
16,58,True,False,grouped,boosted_trees,0.5520628683693517,0.4578260598114503,ok,3.022343887016177
16,58,True,False,row_wise,boosted_trees,0.5520628683693517,0.7961384778672661,ok,3.0275085910689086
17,59,True,False,grouped,boosted_trees,0.5969498910675382,0.5776681791280331,ok,2.2895440499996766
17,59,True,False,row_wise,boosted_trees,0.5969498910675382,0.7603866640362991,ok,2.296935269027017
18,60,True,False,grouped,boosted_trees,0.45774647887323944,0.5718281718281718,ok,1.5221856420394033
18,60,True,False,row_wise,boosted_trees,0.45774647887323944,0.7932317682317682,ok,1.5269522169837728
19,61,True,False,grouped,boosted_trees,0.49382716049382713,0.582860137195122,ok,1.7456829589791596
19,61,True,False,row_wise,boosted_trees,0.49382716049382713,0.7950933689024391,ok,1.7503692948957905
20,62,True,False,grouped,boosted_trees,0.36490683229813664,0.5090620610726734,ok,1.9621282509760931
20,62,True,False,row_wise,boosted_trees,0.36490683229813664,0.8855953805337355,ok,1.967516897013411
21,63,True,False,grouped,boosted_trees,0.4883720930232558,0.6744378306878307,ok,2.001061485032551
21,63,True,False,row_wise,boosted_trees,0.4883720930232558,0.8926166426166426,ok,2.006967519992031
22,64,True,False,grouped,boosted_trees,0.5562632696390658,0.6875525037437451,ok,1.8710975128924474
22,64,True,False,row_wise,boosted_trees,0.5562632696390658,0.8486065962964315,ok,1.8779851199360564
23,65,True,False,grouped,boosted_trees,0.5033222591362126,0.5532743909842489,ok,1.4682002119952813
23,65,True,False,row_wise,boosted_trees,0.5033222591362126,0.7379493802223032,ok,1.4746673060581088
24,66,True,False,grouped,boosted_trees,0.5072463768115942,0.5964207905384376,ok,1.611733175930567
24,66,True,False,row_wise,boosted_trees,0.5072463768115942,0.8322855067953109,ok,1.6166164670139551
25,67,True,False,grouped,boosted_trees,0.41409691629955947,0.47690147354201107,ok,1.6923407829599455
25,67,True,False,row_wise,boosted_trees,0.41409691629955947,0.7301720613590714,ok,1.6982806419255212
26,68,True,False,grouped,boosted_trees,0.6517647058823529,0.4555810322958338,ok,1.6875828230986372
26,68,True,False,row_wise,boosted_trees,0.6517647058823529,0.78524734120402,ok,1.6935070250183344
27,69,True,False,grouped,boosted_trees,0.44768439108061747,0.7074676947240665,ok,2.494119560928084
27,69,True,False,row_wise,boosted_trees,0.44768439108061747,0.868351538516456,ok,2.503151566023007
28,70,True,False,grouped,boosted_trees,0.45606060606060606,0.5444757030881278,ok,1.7288692980073392
28,70,True,False,row_wise,boosted_trees,0.45606060606060606,0.787616024579165,ok,1.7347040890017524
29,71,True,False,grouped,boosted_trees,0.4253048780487805,0.6016419003070839,ok,2.538798926048912
29,71,True,False,row_wise,boosted_trees,0.4253048780487805,0.735394502913969,ok,2.545442961039953
0,42,True,True,grouped,boosted_trees,0.4444444444444444,0.4280235564492962,ok,1.6997338680084795
0,42,True,True,row_wise,boosted_trees,0.4444444444444444,0.8621516805515657,ok,1.7066828981041908
1,43,True,True,grouped,boosted_trees,0.4268456375838926,0.46476809096666816,ok,1.827254034113139
1,43,True,True,row_wise,boosted_trees,0.4268456375838926,0.8099362231747013,ok,1.8336760191014037
2,44,True,True,grouped,boosted_trees,0.605427974947808,0.509669768290458,ok,2.0209807429928333
2,44,True,True,row_wise,boosted_trees,0.605427974947808,0.8179529282977558,ok,2.026537894969806
3,45,True,True,grouped,boosted_trees,0.4015267175572519,0.553474431597734,ok,1.8600958560127765
3,45,True,True,row_wise,boosted_trees,0.4015267175572519,0.842438115930783,ok,1.867588764987886
4,46,True,True,grouped,boosted_trees,0.4916387959866221,0.6359425349087003,ok,2.257312678033486
4,46,True,True,row_wise,boosted_trees,0.4916387959866221,0.793344969566774,ok,2.263615870033391
5,47,True,True,grouped,boosted_trees,0.3647711511789182,0.5573496936589902,ok,2.1410490659764037
5,47,True,True,row_wise,boosted_trees,0.3647711511789182,0.8319109369551863,ok,2.1470694890012965
6,48,True,True,grouped,boosted_trees,0.488272921108742,0.7869905385735081,ok,1.751360484980978
6,48,True,True,row_wise,boosted_trees,0.488272921108742,0.9607532751091703,ok,1.7570595149882138
7,49,True,True,grouped,boosted_trees,0.7181571815718157,0.4369738751814224,ok,1.5840641409158707
7,49,True,True,row_wise,boosted_trees,0.7181571815718157,0.8301523947750364,ok,1.590674955979921
8,50,True,True,grouped,boosted_trees,0.36213991769547327,0.5862781036168132,ok,2.291667093988508
