replicate,seed,episode_fingerprint,shared_event_time,split_method,model,event_prevalence,n_eligible,auroc,status,runtime_seconds
15,57,False,False,row_wise,boosted_trees,0.4766666666666667,600,0.49427642421272994,ok,1.4123847470618784
16,58,False,False,grouped,boosted_trees,0.4716666666666667,600,0.532426346824804,ok,1.6620823160046712
16,58,False,False,row_wise,boosted_trees,0.4716666666666667,600,0.5130363054697864,ok,1.6681964729214087
17,59,False,False,grouped,boosted_trees,0.49166666666666664,600,0.4765212559044179,ok,1.8870148279238492
17,59,False,False,row_wise,boosted_trees,0.49166666666666664,600,0.48729091414281744,ok,1.8922754989471287
18,60,False,False,grouped,boosted_trees,0.48,600,0.489906071937322,ok,1.4648763340665027
18,60,False,False,row_wise,boosted_trees,0.48,600,0.46142717236467234,ok,1.4718211180297658
19,61,False,False,grouped,boosted_trees,0.4716666666666667,600,0.5357536979857542,ok,1.7199863779824227
19,61,False,False,row_wise,boosted_trees,0.4716666666666667,600,0.5678344907536422,ok,1.72593179193791
20,62,False,False,grouped,boosted_trees,0.43666666666666665,600,0.46027372510050135,ok,1.675277231959626
20,62,False,False,row_wise,boosted_trees,0.43666666666666665,600,0.4608044627128597,ok,1.6808010309468955
21,63,False,False,grouped,boosted_trees,0.4766666666666667,600,0.48422119281991893,ok,1.4438274580752477
21,63,False,False,row_wise,boosted_trees,0.4766666666666667,600,0.45918890027170284,ok,1.448484115069732
22,64,False,False,grouped,boosted_trees,0.5166666666666667,600,0.5554393770856506,ok,1.4949324460467324
22,64,False,False,row_wise,boosted_trees,0.5166666666666667,600,0.5690989988876529,ok,1.5001974869519472
23,65,False,False,grouped,boosted_trees,0.485,600,0.45053881826977615,ok,1.2855669980635867
23,65,False,False,row_wise,boosted_trees,0.485,600,0.46883306086589044,ok,1.290040594059974
24,66,False,False,grouped,boosted_trees,0.4766666666666667,600,0.5161184357044231,ok,1.6988253160379827
24,66,False,False,row_wise,boosted_trees,0.4766666666666667,600,0.5155004231437352,ok,1.703554706997238
25,67,False,False,grouped,boosted_trees,0.47833333333333333,600,0.4982801037503757,ok,1.5203070429852232
25,67,False,False,row_wise,boosted_trees,0.47833333333333333,600,0.4831405639478576,ok,1.5245566349476576
26,68,False,False,grouped,boosted_trees,0.46166666666666667,600,0.5625621709827765,ok,1.3970182070042938
26,68,False,False,row_wise,boosted_trees,0.46166666666666667,600,0.5468364050921528,ok,1.4020472830161452
27,69,False,False,grouped,boosted_trees,0.465,600,0.5401802163936623,ok,1.4584719240665436
27,69,False,False,row_wise,boosted_trees,0.465,600,0.5477729764736096,ok,1.4637606310425326
28,70,False,False,grouped,boosted_trees,0.4766666666666667,600,0.49682642198565774,ok,2.209921943023801
28,70,False,False,row_wise,boosted_trees,0.4766666666666667,600,0.49196026903033274,ok,2.215792531031184
29,71,False,False,grouped,boosted_trees,0.525,600,0.5140517961570593,ok,1.5694969319738448
29,71,False,False,row_wise,boosted_trees,0.525,600,0.4999721526037316,ok,1.5749877400230616
0,42,False,True,grouped,boosted_trees,0.38235294117647056,612,0.6116990005878894,ok,2.6893882339354604
0,42,False,True,row_wise,boosted_trees,0.38235294117647056,612,0.649335232668566,ok,2.6952482499182224
1,43,False,True,grouped,boosted_trees,0.5196078431372549,510,0.4800231035810551,ok,1.4732692450052127
1,43,False,True,row_wise,boosted_trees,0.5196078431372549,510,0.5152252599152869,ok,1.4776395639637485
2,44,False,True,grouped,boosted_trees,0.47788873038516405,701,0.5012478590653291,ok,2.1592394791077822
2,44,False,True,row_wise,boosted_trees,0.47788873038516405,701,0.519431530870239,ok,2.1643014440778643
3,45,False,True,grouped,boosted_trees,0.5201342281879194,596,0.45234604105571846,ok,5.014545047073625
3,45,False,True,row_wise,boosted_trees,0.5201342281879194,596,0.49584931197834425,ok,5.024244909989648
4,46,False,True,grouped,boosted_trees,0.49521988527724664,523,0.45918158418158417,ok,4.578507122932933
4,46,False,True,row_wise,boosted_trees,0.49521988527724664,523,0.5188223938223938,ok,4.583734852029011
5,47,False,True,grouped,boosted_trees,0.5158450704225352,568,0.48908470369221224,ok,1.7012191519606858
5,47,False,True,row_wise,boosted_trees,0.5158450704225352,568,0.5141607198262489,ok,1.7065182579681277
6,48,False,True,grouped,boosted_trees,0.41127694859038144,603,0.5158905043162199,ok,1.9503453810466453
6,48,False,True,row_wise,boosted_trees,0.41127694859038144,603,0.5762153566560655,ok,1.9558473100187257
7,49,False,True,grouped,boosted_trees,0.5456273764258555,526,0.5225970580088347,ok,1.8220572680002078
7,49,False,True,row_wise,boosted_trees,0.5456273764258555,526,0.5202863265930926,ok,1.8279737069969997
8,50,False,True,grouped,boosted_trees,0.44651162790697674,645,0.5139472455648927,ok,1.9638389700558037
8,50,False,True,row_wise,boosted_trees,0.44651162790697674,645,0.5413748832866481,ok,1.9711400070227683
9,51,False,True,grouped,boosted_trees,0.48455598455598453,518,0.4562275243594909,ok,1.789399996981956
9,51,False,True,row_wise,boosted_trees,0.48455598455598453,518,0.50136532521599,ok,1.795729988021776
10,52,False,True,grouped,boosted_trees,0.5097690941385435,563,0.45185072968742107,ok,2.268730875919573
10,52,False,True,row_wise,boosted_trees,0.5097690941385435,563,0.5237464020602939,ok,2.2752163260011002
11,53,False,True,grouped,boosted_trees,0.6783505154639176,485,0.5271997506040059,ok,2.167923689004965
11,53,False,True,row_wise,boosted_trees,0.6783505154639176,485,0.5531232951445717,ok,2.172790278913453
12,54,False,True,grouped,boosted_trees,0.5064935064935064,616,0.4767206477732794,ok,1.6871094019152224
12,54,False,True,row_wise,boosted_trees,0.5064935064935064,616,0.5208913208502024,ok,1.6929819149663672
13,55,False,True,grouped,boosted_trees,0.5288640595903166,537,0.4478511384512609,ok,1.641713735065423
13,55,False,True,row_wise,boosted_trees,0.5288640595903166,537,0.489617547180315,ok,1.6477630470180884
14,56,False,True,grouped,boosted_trees,0.5469026548672566,565,0.5679990898058253,ok,2.044103431981057
14,56,False,True,row_wise,boosted_trees,0.5469026548672566,565,0.5774044296116505,ok,2.049295317963697
15,57,False,True,grouped,boosted_trees,0.4290484140233723,599,0.428083828247662,ok,1.5453074619872496
15,57,False,True,row_wise,boosted_trees,0.4290484140233723,599,0.5204849022686417,ok,1.552264380035922
16,58,False,True,grouped,boosted_trees,0.49393939393939396,660,0.45223816171338305,ok,1.8852535570040345
16,58,False,True,row_wise,boosted_trees,0.49393939393939396,660,0.4819165350281033,ok,1.891018195077777
17,59,False,True,grouped,boosted_trees,0.4691358024691358,567,0.4921314915194964,ok,2.2167685580207035
